,Date Announced,Category ,Stock Name,Company Name,Shareholder Name,Class,Indirect/deemed interest (%),Indirect/deemed interest (units),Direct (%),Direct (units),Post No. of Securities
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SHANG, SHANGRI-LA HOTELS (MALAYSIA) BERHAD, ABERDEEN STANDARD INVESTMENTS (ASIA) LIMITED, Ordinary Shares,6.693,"29,449,600",,,"29,449,600"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, INARI, INARI AMERTRON BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary shares,,,6.978,"221,896,400","221,896,400"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SHANG, SHANGRI-LA HOTELS (MALAYSIA) BERHAD, ABERDEEN ASSET MANAGEMENT PLC, Ordinary Shares,8.612,"37,892,500",,,"37,892,500"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TOPGLOV, TOP GLOVE CORPORATION BHD, TAN SRI DR LIM WEE CHAI, Ordinary Shares,8.996,"230,293,216",26.801,"686,050,552","916,343,768"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TOPGLOV, TOP GLOVE CORPORATION BHD, PUAN SRI TONG SIEW BEE, Ordinary Shares,35.515,"909,113,376",0.282,"7,230,392","916,343,768"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TOPGLOV, TOP GLOVE CORPORATION BHD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,7.415,"189,818,422","189,818,422"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TOPGLOV, TOP GLOVE CORPORATION BHD, MR LIM HOOI SIN, Ordinary Shares,34.256,"876,896,120",1.54,"39,413,648","916,309,768"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SHANG, SHANGRI-LA HOTELS (MALAYSIA) BERHAD, STANDARD LIFE ABERDEEN PLC, Ordinary Shares,8.612,"37,892,500",,,"37,892,500"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, PAVREIT, PAVILION REAL ESTATE INVESTMENT TRUST, EMPLOYEES PROVIDENT FUND BOARD, UNITS IN PAVILION REAL ESTATE INVESTMENT TRUST,,,6.787,"206,412,603","206,412,603"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, GAMUDA, GAMUDA BERHAD, KUMPULAN WANG PERSARAAN (DIPERBADANKAN) [KWAP], Ordinary Shares,,,7.06,"174,711,234","174,711,234"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, GASMSIA, GAS MALAYSIA BERHAD, LEMBAGA TABUNG HAJI, Ordinary Share,,,7.743,"99,417,500","99,417,500"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TM, TELEKOM MALAYSIA BERHAD, EMPLOYEE PROVIDENT FUND BOARD (EPF BOARD), Ordinary Shares,,,16.76,"631,131,300","631,131,300"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, PEB, PIMPINAN EHSAN BERHAD, MISS CHEE SHU YING, Odinary Shares,,,6.352,"4,390,700","4,390,700"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, FPI, FORMOSA PROSONIC INDUSTRIES BERHAD, YAYASAN PELABURAN BUMIPUTRA, ORDINARY SHARES,7.324,"18,116,000",0,0,"18,116,000"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, FPI, FORMOSA PROSONIC INDUSTRIES BERHAD, PERMODALAN NASIONAL BERHAD, ORDINARY SHARES,0,0,7.324,"18,116,000","18,116,000"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LIENHOE, LIEN HOE CORPORATION BERHAD, DATO' YAP SING HOCK, Ordinary shares,59.11,"196,493,797",,,"196,493,797"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IJM, IJM CORPORATION BERHAD, KUMPULAN WANG PERSARAAN (DIPERBADANKAN), Ordinary Shares,,,7.189,"260,929,000","260,929,000"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, RANHILL, RANHILL HOLDINGS BERHAD, LEMBAGA TABUNG HAJI, Ordinary shares,,,5.114,"54,512,300","54,512,300"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IGBB, IGB BERHAD, MR TAN BOON SENG, Ordinary Shares,9.367,"63,852,881",0,0,"63,852,881"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IGBB, IGB BERHAD, WANG TAK COMPANY LIMITED, Ordinary Shares,1.362,"9,283,101",4.351,"29,658,750","38,941,851"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IGBB, IGB BERHAD, LEE HING DEVELOPMENT LIMITED, Ordinary Shares,5.713,"38,941,851",0,0,"38,941,851"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, HSL, HOCK SENG LEE BERHAD, DATO YU CHEE HOE, Ordinary shares,58.464,"321,267,207",1.28,"7,033,553","7,033,553"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LIENHOE, LIEN HOE CORPORATION BERHAD, CHRISTINE HOLDING SDN BHD, Ordinary shares,,,59.11,"196,493,797","196,493,797"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TUNEPRO, TUNE PROTECT GROUP BERHAD, RIVER AND MERCANTILE ASSET MANAGEMENT LLP, Ordinary Shares,,,5.488,"41,254,300","41,254,300"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, F&N, FRASER & NEAVE HOLDINGS BHD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,10.505,"38,528,430","38,528,430"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, MISC, MISC BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,5.3,"236,709,211","236,709,211"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, UTDPLT, UNITED PLANTATIONS BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,13.576,"28,154,948","28,154,948"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, MISC, MISC BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,5.37,"239,893,111","239,893,111"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, VS, V.S. INDUSTRY BERHAD, KUMPULAN WANG PERSARAAAN, Ordinary shares,1.516,"27,957,725",9.172,"169,095,550","197,053,275"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, GTRONIC, GLOBETRONICS TECHNOLOGY BERHAD," EMPLOYEES PROVIDENT FUND BOARD (""EPF BOARD"")", Ordinary shares,,,,"81,651,730","81,651,730"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, DRBHCOM, DRB-HICOM BERHAD," EMPLOYEES PROVIDENT FUND (""EPF"") BOARD", Ordinary shares,,,7.769,"150,192,797","150,192,797"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, PPB, PPB GROUP BERHAD, EMPLOYEES PROVIDENT FUND BOARD, ORDINARY SHARES,,,12.426,"176,771,149","176,771,149"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TENAGA, TENAGA NASIONAL BHD, KUMPULAN WANG PERSARAAN (DIPERBADANKAN), Ordinary Shares,0.74,"42,042,600",4.7,"267,068,025","309,110,625"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, WCT, WCT HOLDINGS BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,9.47,"133,556,828","133,556,828"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, UOADEV, UOA DEVELOPMENT BHD," EMPLOYEES PROVIDENT FUND BOARD (""EPF BOARD"")", Ordinary Shares,0,0,7.871,"154,825,300","154,825,300"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SIME, SIME DARBY BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary shares,1.885,"128,190,363",7.763,"527,967,512","656,157,875"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, PADINI, PADINI HOLDINGS BERHAD, KUMPULAN WANG PERSARAAN (DIPERBADANKAN), ORDINARY SHARES,0.92,"6,051,267",6.313,"41,531,200","47,582,467"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, YTLLAND, YTL LAND & DEVELOPMENT BERHAD, PUAN SRI DATIN TAN KAI YONG @ TAN KAY NEONG, ORDINARY SHARES,90.511,"750,488,475",,,"750,488,475"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, YTLLAND, YTL LAND & DEVELOPMENT BERHAD, YEOH TIONG LAY & SONS HOLDINGS SDN BHD, Ordinary Shares,90.511,"750,488,475",,,"750,488,475"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, YTLLAND, YTL LAND & DEVELOPMENT BERHAD, YTL CORPORATION BERHAD, Ordinary Shares,,,90.511,"750,488,475","750,488,475"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, YTLLAND, YTL LAND & DEVELOPMENT BERHAD, YEOH TIONG LAY & SONS FAMILY HOLDINGS LIMITED, Ordinary Shares,90.511,"750,488,475",,,"750,488,475"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, YTLLAND, YTL LAND & DEVELOPMENT BERHAD, YEOH TIONG LAY & SONS TRUST COMPANY LIMITED, Ordinary Shares,90.511,"750,488,475",,,"750,488,475"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, DPHARMA, DUOPHARMA BIOTECH BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,7.277,"49,491,848",,,"49,491,848"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SIME, SIME DARBY BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary shares,1.885,"128,190,363",7.754,"527,317,512","655,507,875"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SIME, SIME DARBY BERHAD, AMANAHRAYA TRUSTEES BERHAD - AMANAH SAHAM BUMIPUTERA, Ordinary shares,,,41.813,"2,843,642,400","2,843,642,400"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, ELKDESA, ELK-DESA RESOURCES BERHAD, MR TEOH HOCK CHAI @ TEW HOCK CHAI, Ordinary Share,38.206,"113,480,000",1.002,"2,975,000","116,455,000"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, ELKDESA, ELK-DESA RESOURCES BERHAD, ZHONGXIN RESOURCES SDN BHD, Ordinary Share,38.206,"113,480,000",0,0,"113,480,000"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, ATAIMS, ATA IMS BERHAD, MR BALACHANDRAN A/L GOVINDASAMY, Ordinary Shares,7.141,"86,005,134",0.508,"6,120,200","92,125,334"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KPJ, KPJ HEALTHCARE BERHAD, EMPLOYEES PROVIDENT FUND, Ordinary shares,,,,,"479,563,080"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KPJ, KPJ HEALTHCARE BERHAD, EMPLOYEES PROVIDENT FUND, Ordinary shares,,,,,"479,854,280"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TAKAFUL, SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD, EMPLOYEES PROVIDENT FUND BOARD, ORDINARY SHARES,0,0,5.938,"49,098,147","49,098,147"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, F&N, FRASER & NEAVE HOLDINGS BHD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,10.459,"38,362,530","38,362,530"
